	Unnamed: 0	id	Tweet	Stance
0	0	SMM4H2022yW4mXhmCE9gh1B7b	"""do you have any medication allergies? """"asthma!!!"""" me: """"........"""" pt: """"no wait. avelox, that's it!"""" """"so no other allergies?"""" """"right!"""" *cont"""	ADE
1	1	SMM4H2022afMxPjtHKyItF0n3	"""@USER_________ if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs"""	ADE
2	2	SMM4H2022dc1lWHnZeBy441B8	"""apparently, baclofen greatly exacerbates the """"ad"""" part of my adhd. average length of focus today: about 30 seconds."""	ADE
3	3	SMM4H2022ExV2GXXaqhGjJNFM	pt of mine died from cipro rt @USER_________: @USER_____ if only more doctors thought like you! i lost my entire life to 12 cipro pills	ADE
4	4	SMM4H2022dZ7ZqyvGqxh0jKeH	@USER_____ The only pt of mine who ever died was one age 21 profound autism chronic underwt & GI issues, given lots of Cipro. Terrible	ADE
5	5	SMM4H202221svYY3nNe8z5jdE	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.	ADE
6	6	SMM4H2022TktK7f4NNPqLzVWl	@USER______ oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.	ADE
7	7	SMM4H2022E8PLU8eznkYN0dlx	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?	ADE
8	8	SMM4H2022FxzK9r9cEII1gmaJ	@USER___________ Umm, are you being a smart-ass? Dont mess with me right now. Going through Cymbalta withdrawal I think & Im VERY depressed.	ADE
9	9	SMM4H20222QPvF36FzxCLJe8l	today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.	ADE
10	10	SMM4H2022o9R8zCvDwlfSI87k	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps	ADE
11	11	SMM4H20224CdAz4uAODp4fESt	that nap was on point.... cymbalta did that shit cuz i dont take naps...ever	ADE
12	12	SMM4H2022aJS4BaMKlXI0KeI5	@USER___________ cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!	ADE
13	13	SMM4H2022LsJR4tzc0A5eTQB4	@USER____ @USER________ i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed	ADE
14	14	SMM4H2022H46enMioMkbcxr0A	note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions	ADE
15	15	SMM4H202247Y6GjkNElgjxDKM	I'm sure this fluoxetine is making my illness worse, especially since I can't eat..	ADE
16	16	SMM4H2022nAYZ3hTd7VxYMKZC	"""rt @USER___: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic '"""	ADE
17	17	SMM4H2022pJ8eplYSKrDUKhBg	i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.	ADE
18	18	SMM4H2022VlNSwqfn2B6lekK9	so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.	ADE
19	19	SMM4H2022q1fnCS4S7ckk1qUv	@USER___________ it was explained to me that all the anti-tnfs can bring out other issues. i had severe joint pain on humira &amp; remicaid	ADE
20	20	SMM4H2022uycEAFWkndlu2r3e	@USER__________ @USER____ i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions	ADE
21	21	SMM4H2022LCONWDHIHZaerIEz	The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum	ADE
22	22	SMM4H20220Fn1PRrRkP70pjI5	"""rt @USER___: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh'"""	ADE
23	23	SMM4H2022XbBn71ec15IlmpA6	humira + thioguanine + preds = me have no immune lol.. thankgod i on anti biotics for a bit... then preds drop off #crohns	ADE
24	24	SMM4H2022Bi2Q3tParwQAMrQw	anyone have nerve damage symptoms (ms like) from enbrel or humira? #rheum	ADE
25	25	SMM4H20222nZuTHzcSXK4tHEI	"""well. i abruptly stopped taking lamotrigine (lamictal), and that is why i am having the pain and weakness. possible seizure. oops."""	ADE
