	id	Tweet	Claim	Stance	Premise
0	3054935	@realDonaldTrump It's too dangerous to hold the RNC, but let's send students and teachers back to school  #TrumpLiesAmericansDie	school closures	FAVOR	1
1	453444	If masks are so important why is the public not made aware of the ONLY mask that will protect the wearer from covid19 - the N95 mask?	face masks	AGAINST	1
2	211600	But if schools close who is gonna occupy those graves? Cause politicians(protected) smokers (protected) drunkards(protected) school kids &amp; teachers VERY EXPOSED.	school closures	FAVOR	1
3	3049718	@GavinNewsom be the Governor I thought you were and order another #StayAtHome mandate. Clearly you know the numbers, #FlattenTheCurve &amp; save #California - for your children &amp; mine! #GavinNewsom #Covid_19	stay at home orders	FAVOR	1
4	5039679580998	@BBCNews 1. You are reporting 78% uptake on masks in many EU countries and 21% here while Brits stay at home to afraid to go out. Could the reason for this be the lack of mask wearing itself? I know its why I won't go out!	face masks	FAVOR	1
5	849806963	@jmulich @Standwi78914908 The strongest motive for this is HongKongers’ distrust in China.  #WuhanVirus #CCPVirus	face masks	NONE	0
6	1443255705	@sandeep25a Hehe....  What about u Bro :star-struck::hearts:	stay at home orders	NONE	0
7	2739465	@LaraCrabb little wet men mincing along perfect analogy of the mask gimp.	face masks	AGAINST	0
8	1614874541	@joshi_speaks @anubha1812 It is not the arrogance of the schools ans hospitals. I totally agree that it is incompetency of state and our govt. society instead of fighting with private sector must go and fight with government and ask them to provide best of public education and health.	school closures	NONE	0
9	1040600880	@LawrenceBJones3 Their is an emotional toll on our children	stay at home orders	NONE	0
10	804806	so you’re telling me a student or teacher has to get the coronavirus in the school for it to close down for 24 HOURS and everyone has to continue going to school after that? which dumbass came up with this idea...?	school closures	FAVOR	1
11	3375531	@wiscontext @WashCoWisco @PBSWI @WashCoExec Over 148,000 Americans :flag_for_United_States: have died. We are not showing them any respect or learning from the senseless deaths that could be avoided by wearing a mask. Obviously Washington County and other counties are failing as  #COVID19 # 's keep:arrow_up::arrow_up:	face masks	FAVOR	1
12	387817	@venessb @TonyBlakely_PI Also would Victorians cope with an NZ-style #lockdown: we probably would need the #ADF to help enforce as it seems we have too many not adhering to the current Stage 3 restrictions as it is!!! :mask:	stay at home orders	FAVOR	1
13	2868912619793	@real_defender @realDonaldTrump The real vaccine is the election on Nov. 3th. Trump Virus will be eradicated then and maybe this covid19 pandemic will be managed properly, not like Trump did for the past 6 months.   Keep safe,	face masks	FAVOR	0
14	3538014	Option of homeschooling is for the rich. Not for the poor. You gave Us no choice. Then you say if they don’t go to school there wont be be space for them next year :woman_shrugging_medium-light_skin_tone:. What choice or options are there? #COVID19 #angie #LockdownSA	school closures	FAVOR	1
15	1166863070	A late start to my #GTD #WeeklyReview but any clarity, peace, and moments of reflection are welcome ones.	stay at home orders	NONE	0
16	2199108911	I don’t understand why everyone is mad about #FireFauci :thinking_face: here’s the deal either he’s a liar or a fraud, probably both. He’s a sneaky snake. We need to be more protective of our bodies! The government doesn’t take care of us... Wake up :eyes:  #WWGIWGA	face masks	NONE	0
17	2118018	@ProfessorSnarf @AlexBerenson @WHO Tests have also shown that oxygen levels decreased with the wearing of masks. I can’t breathe in a mask and am also depriving my body, mind and vital organs of life dependent oxygen when wearing a stupid tyrannical face mask.	face masks	AGAINST	1
18	3655250	@pr0mode I'm thinking that if kids going into college thing that 15% of $8,000 is about $3000 that we really need school choice and to open up schools now.  #SchoolChoice	school closures	AGAINST	1
19	1202944	@hillarywillbern @Adrieliam @SMSCats2 @BillyCorben @TedToddAgency @CharleyTodd Yes... exactly... harass cake eaters and bakeries if that's your bliss. Really! But please do it without shouting. Follow the law, follow local regs, respect store policies, and puleeezzz wear a mask. :grin:	face masks	FAVOR	1
20	476322	@ASlavitt @Scaramucci Note to @ASlavitt:  MASKS DON'T BLOCK VIRUSES MASKS CAUSE O2 DEPRAVATION	face masks	NONE	0
21	500558	@GOP Look what happened in Israel when they opened schools. And they had Covid under control at the time. It's fucking raging here.	school closures	FAVOR	1
22	2968557	Had a crazy dream that the 'rona virus was prepping our bodies for a zombie virus. What a nightmare! #COVID19  #Brains #MondayMotivaton	face masks	NONE	0
23	3740273	Ok @ScottMorrisonMP @DanielAndrewsMP  now a student @CareyBaptist tests +ve, what are you waiting for to close schools? #ScoMoAct #AUSPMACT #9News #coronavirus #COVID19Aus #ClosetheschoolsAustralia	school closures	FAVOR	1
24	2646167609	@ChanteJantjies_ @METROFMSA When duty :phone: and.... You got no choice. :heart::heart::ok_hand:	stay at home orders	NONE	0
25	3378843	@nypost Scared companies are losing my support by the day.	stay at home orders	AGAINST	0
26	1718508	Truly can see ignorance is bliss, when a Florida woman says I shouldn't wear a mask and to not fear the virus because she doesn't. I don't fear getting the virus but have respect for others and refuse encourage this ignorance.	face masks	FAVOR	1
