	tweet_id	text	label
7980	936439761899851776	all my friends are turning 21 in 2018, finally	0
7259	974050132948758528	Another day at the office 😊 giving our time back to community in Melbourne. You are looking at 60 ladies who have opportunity to see how to pursue a career in data analytics to get better opportunities in life! #womenintech #DataAnalytics https://t.co/UPWJiYGo9i	0
8434	874228184174149632	"It's also National Red Rose, &amp; Loving Day. I guess it's appropriate as it's also my 26th anniversary.OK. All at once. Everyone go ""Awww!""."	0
8429	948669843208884224	You know who is irredeemably  unintelligent to say Morata is more intelligent than Lukaku? You. If you were half as intelligent as Lukaku shadow, you wouldn't ever call someone with almost 200 goals at 24 unintelligent.	0
317	822293370508718080	Literally the only thing I care about once I turn 21	1
1988	598489415296495617	here is the EB Russell at 15 crash not causing delays just #slowyourroll for LE clearing this #FOX5Traffic http://t.co/cDJLHMHNKZ	0
4111	726041446344699904	Cochran bounces back with a great birdie at 17. Back to +3 heading to the 18th.	0
3445	772147811215298560	"Remains of boy missing since 1989 found: Jacob Wetterling, who was 11 years old when he disappeared, ""has been… https://t.co/JzKyDGF0kA"	0
3160	714946509834326016	ENRIQUEGIL AT 24 You're my everything what can I say  #DolceAmoreHopiaNoMore	0
593	502671159989895168	My bday is almost here. Waiting for thaf clock to hit 12	0
186	1126123229364592640	When I’m president I will sign a bill into law that requires all men, once they turn 16 to get a vasectomy that can later be reversed...only when they get married.	0
1154	663459702332755968	at 16 or even 21, nobody is worth stressing over. like move on, leave ppl behind. go find yourself man, the world is yours. life goes on	0
4710	722388316600053760	@GTEazyx what the fuck. how is he 40 years old?	0
3369	815675183495319552	i literally just remembered that at 13 i sold my favorite adidas hoodie to some guy to pay for a date that I got stood up on hahahahahahaha	0
7911	758067457168781313	@PDS123456 @SpeakMyMind0927 @MyHoneySoSweet @BeyHivee @Virtuoso_4lyf I'm 21. Hope I look like this at 34😩	1
1451	938622319898927105	Bus Naam he Kafi hai 😎    No one can look so fit at the age of 51,   Unless He is  Mr. #SalmanKhan https://t.co/LPYrG7tRBt	0
2810	1065722273804500992	On my 17th plate, wish my Grandmom’s bathroom good luck	0
5270	753242732513136640	Myrtle Beach on Saturday for my 19th birthday 😎🏝🏖🌊😏 #july17	1
10692	960878141232250880	@EruseaRise @SpyMail @EastEndChild @stillgray @Sy1K1 @PrisonPlanet Wtf r u talking about he was born in South Africa and lived there til he was 18yo, he left there already an adult, so he was educated there, he even has an accent, you can't be much more African than that... It's not like he was born there and left 4 days later and never returned	0
67	687635244799922176	Alan Rickman died today at 69 after losing his battle with cancer. Goodbye, Severus Snape.	0
7227	1138895387396386816	"@MickiMaynard I don't think that's as big of a deal for Apple; but I do think it's hard to attract the sort of talent they need when working at a store is seen socially as something not ""okay"" to do after the age of 21, even if you can make good money doing it"	0
224	888846199352156160	Literally gonna be us on my 50th birthday in Vegas @MissRheaDawn @Mk_iRebel @AmyAmzzzzz @bbylin_ @siansue_x https://t.co/HnMU9UheGc	1
9368	591996645753102336	Not only did I have an amazing 21st birthday... We get to move into our new place on Tuesday! I am so excited. No more Tallahassee ❤❤	1
10185	756283150393802752	btw whole chicken tender pub subs are on sale for $4.99 till next week RT to save a life	0
1983	1060123648760045568	my mom &amp; dad got married at the age of 19....	0
2376	557920199442444289	Excited for the weekend out out for @L_jiggs birthday #33  😂💁🍸🍸	0
8817	992271264675840001	Okay but the term once a cheater always a cheater kinda confuses me I personally have NEVER cheated on someone but I know people who say that about men or women who cheated on there S/O when they were like 15 years old like I understand cheating is wrong I know literally I really	0
8329	779036530530582528	I'm gonna be ballsy and make 29 vids b4 Oct1st (or try!) ha 29 diff vids to buy in October to bring in my 29th year 😇	1
2745	895741031618150400	4 in 10 people who begin drinking before age 15 become alcoholics.	0
61	858452838250369024	CCI Spring Fling!! Dance the night away with access to our gorgeous courtyard filled with lights. Tickets will go on sale for $10 next week. https://t.co/tSSqGgqhxD	0
1562	1087425575684173829	@DuhGreat @ProsodiJ Let your dream change. The future u dreamed at 10yrs old should not be the same dream u have at 20. Same at 30 &amp; 40. It should grow, change &amp; become more defined, more specific.This applies to almost everything- career, relationship, family.Don’t be afraid to change	0
5185	1045473074890530816	Drinking at 16 vs drinking at 20	0
8649	1061033555390853120	this little white girl turned 17 on youtube &amp; you can’t tell me she wasn’t drunk	0
8513	869894342076452865	Want to wish my Daddy a wonderful Happy 74th Birthday today!  Love You Daddy!  #bestdad #daddyrocks #pastor #evangelist 😎❤🌼🍰	0
8705	1051232563128340480	its crazy how when u turn 21 ur parents go from shaming you for drinking to having a drink for u when u come home	1
10163	1060530049949016064	You don’t have to have it all figured out at 21, or 30, or even 40. You’ll bloom when you’re ready. The only thing that matters is never giving up.#ThursdayThoughts#ThursdayMotivation https://t.co/YLUyfQjnm4	0
4510	998773718171242497	I’m 19 🙄 wish i wasn’t getting older lol i remember my 17th bday was fun.	1
6592	647328990181593088	Today I turned 18 weeks pregnant with my little munchkin.	0
237	941299133872328704	@MooreSenate Time to concede!  We can talk about what that word means of you need help. Can I ask you also why you wanted to have sex with a 14 year old? At 30, or even 18, you would become a criminal pedo for these actions.   When did you first engage in sexual activity with a minor?	0
3320	959573942712193030	HI..MY NAME IS KATIE (age46 MILF) PLEASE FOLLOW ME and SEE ALL MY PICS &amp; VIDEOS #milf https://t.co/lVV7zkFnI0	1
4927	685202360466063360	I need a man like 50 years old lol	0
5760	1063712861493579777	40 Hearty Cheers It's often said that life begins at 40 but allow me to say that yours began long before now. On this special day I join family, friends, well-wishers, and political associates in celebrating... https://t.co/4sjuIwFpiA	0
5526	1054094849413169157	If the point is we want ppl to grow &amp; learn how is canceling him for something he said at 14 furthering that goal esp when WE didn’t learn until we were in our 20s? We holding him to a higher standard than ourselves? https://t.co/ommSmav2RX	0
4690	983445014608048128	@JPPetersonSprts @620wdae unfortunately you can no longer say he qualifies as an ace. at 29 yrs old, a losing career record &amp; still making the same mental mistakes IMO	0
2204	1108410430949486592	@AlSoto9 Vote at age 13. I am running 4 President in 2020 because none of the other candidates offers a solution to autism:  My plan: PREVENTION.  Parents Power. ❤️Ban mandatory vaccines☀️Stop Anthrax vaccines. YouTube. Paul8kangas 2020 Bernie VP “Highwire”.	0
