	tweet_id	tweet_text	label
4907	202945	"Busco alguien que me de una explicación... pero para tontos, que yo me entere.Si llevamos en Andalucía una semana ""contentos"" porque cada dia hay menos de 10 muertoS por covid-19 ¿cómo es posible que el ministerio diga hoy que en los últimos 7 dias ha habido 1 fallecido?¡¡UNO!!"	Self_reports
1633	105716	Las OSCs cuentan con información que debe ser incluida en el análisis de los problemas y las políticas públicas. 👭Sobre los efectos de la pandemia, el Observatorio Género y COVID brinda una visión con perspectiva de género y de #DDHH imperdible🔎Link: https://t.co/dmz1PYgp98 https://t.co/CDObrziqES	Lit-News_mentions
4967	200231	@Orapixel Joder Geometry dash facebook me día gonorrea, cancer, sífilis, sida, Coronavirus, hongos en las patas, toz con fiebre y diarrea	Self_reports
2143	302392	GRACIAS. He salido a sacar a mi perro y una señora se ha ASUSTADO porque estaba tosiendo por la alérgica, le he tenido que decir que tenía nada xd	non-personal_reports
1028	201178	Mire señora resulta q soy bastante exigente con mi cuerpo, de la misma manera q estudio las etiquetas xa consumir lo menos posible de venenos, tb procuro q en mi cuerpo no me los inyecten. Lo dicho, si yo me cuido tb evitó efectos secundarios no deseados.	Self_reports
4982	301304	#COVID19 #HuracanLaura Indiferencia ante el dolor ajeno. Cuando mi gente peligra, las personas o circunstancias roban “mi paz”, pido un milagro, una curita. El Padre me da lo que pido. Ni reconozco, ni cambio. El cancer vuelve a clamar justicia.  ¿Hasta cuando entenderé? https://t.co/ci47VBfqbd	non-personal_reports
2629	300713	Me contrate un seguro de vida pero se da de alta en noventa días. No son ningunos boludos estos TENGO CORONAVIRUS AHORA COMO HAGO PARA AGUANTAR NOVENTA DÍAS PUTOS	non-personal_reports
3416	304753	#CoronavirusEA ¿Sabías que el coronavirus infecta las vías respiratorias y causa síntomas que van desde tos seca, fiebre hasta insuficiencia respiratoria y neumonía? https://t.co/G2NGliK3d8	non-personal_reports
3286	104309	eCommerce gana en tiempos de COVID-19 ¿Cómo deben ser las tiendas online? El confinamiento obligado con el COVID-19 ha derivado en nuevos hábitos en todo el mundo relacionados con la tecnología. #Ecommerce #tecnología https://t.co/UOUDP2VZi4 https://t.co/WN872nLnYm	Lit-News_mentions
4766	303537	Suga dio positivo a el Covid-19 , esperemos que se recupere pronto , y hay que mandarle mensajes bonitos &lt;33 Navidad que pasa lejos de su familia .. #GetwellsoonSUGA#GetWellSoonYoongi #SUGA https://t.co/EDNyODSKHs	non-personal_reports
