text	tweet_id	label
today i discovered procrastination is a sign of chronic stress lmao who fuckin knew	1200724509206040576	0
I'm constantly stressed.	1198256404131450882	1
I wish i knew if my exchange is getting cancelled or not i can't deal with this constant stress	1233221611739807744	1
@jon_a_5 sprints often feel like constant chaos and deadline stress. I'm sure they don't make for healthy team spirit.	1187675918350901248	0
I’m in a constant state of panic and stress that my body constantly leaks blood thickness of sweat	1217387035029209095	1
Why am I constantly stressed tf out	1217058828191137793	1
wish i wasnt constantly just stressed and awkward but hm ! 🤧🤧	1182743358646771714	1
Been to 4 pharmacies today and none of them can get any testosterone gel. I swear being trans is constant stress. https://t.co/iVPxCuRy5R	1193849637284843520	0
i’m the absolute worst for changing my layout constantly whenever i’m stressed.. i’m sorry if it’s annoyingjdjd	1203441850356502537	0
Survival Skill No. 2 for Lawyers: Dealing With Chronic Stress: https://t.co/IfsEPbikQp	1191067670625603584	0
Is it possible to run a business and not feel constant stress all the time	1199954829948272641	0
@sepbamf There’s a non-bullshit analogue to this though, which is chronic stress causing weaker immune systems https://t.co/vekFpbb2qt	1235515638824792064	0
@wearemilkk in a constant state of stress	1233816872925237249	0
If being constantly stressed and possessed with a tanaciable craving of Raising Cane’s isn’t healthy, I don’t know what is	1222210805224992779	0
I am constantly stressed out about who will be able to watch my son while I work.	1205356597540638721	1
time really flies by when you’re constantly stressed &amp; over complicating everything	1202354829118623751	0
Me when my whole cohort is constantly mad, agitated hungry and stressed https://t.co/NZf7bwMWkM	1234194036350685186	0
i live in constant stress	1238121887902785537	1
#NationalStressAwarenessDay? you mean every day? constantly aware of my stress thanks.	1192064621802377217	0
I'm literally in a constant state of stress and it's really starting to get to me	1202185446865985539	1
i miss the days without constant stress &amp; a casual panic attack as the cherry on top.	1182181490391572480	0
Life is a constant battle every single day, I really just can’t deal with any extra stress.	1179795586884800512	0
Not being able to sleep because you’re in a constant stressed mental state? Fucking MINT	1187649932179718144	0
Honestly work is depressing me so much at the moment, I'm constantly stressed and exhausted and under way too much pressure	1201608133224869888	1
@suesswassersee People talk about all the sudden feeling constant undercurrent of stress.... Welcome to the average Tuesday, dude	1238257776494874625	0
Yes I remember too, in relation to chronic stress. https://t.co/4pLnJE12np	1218848474285953029	0
@Lethu_Dlamini @Sibusie_Biyela Yes people die from chronic stress	1193919945643565064	0
